iter	Passed	Remaining
0	16	3243
1	18	1845
2	20	1376
3	23	1135
4	25	987
5	27	894
6	29	820
7	32	771
8	34	729
9	35	671
10	37	648
11	39	624
12	42	604
13	44	586
14	46	573
15	48	561
16	51	549
17	53	536
18	55	525
19	57	519
20	59	510
21	62	503
22	64	495
23	66	488
24	68	479
25	70	474
26	72	467
27	75	461
28	77	455
29	79	450
30	81	445
31	83	440
32	86	435
33	88	431
34	90	425
35	92	420
36	94	416
37	96	411
38	98	407
39	100	402
40	102	398
41	104	394
42	106	390
43	108	385
44	110	382
45	112	378
46	114	374
47	117	370
48	119	366
49	121	363
50	123	359
51	124	355
52	126	351
53	128	348
54	130	345
55	132	341
56	134	338
57	136	335
58	138	331
59	140	328
60	142	325
61	144	321
62	146	318
63	148	315
64	150	312
65	152	309
66	154	306
67	156	303
68	158	300
69	160	297
70	162	295
71	164	292
72	166	289
73	168	287
74	170	284
75	172	281
76	174	278
77	176	276
78	178	273
79	180	270
80	182	267
81	184	265
82	186	262
83	188	260
84	190	257
85	192	255
86	194	253
87	197	250
88	199	249
89	201	246
90	203	244
91	205	241
92	207	239
93	210	236
94	212	234
95	214	231
96	216	229
97	218	227
98	220	224
99	222	222
100	224	219
101	226	217
102	228	214
103	230	212
104	232	210
105	234	207
106	236	205
107	237	202
108	239	199
109	241	197
110	243	195
111	245	192
112	247	190
113	249	188
114	251	185
115	253	183
116	255	181
117	257	179
118	259	176
119	261	174
120	263	172
121	265	169
122	267	167
123	269	165
124	272	163
125	274	160
126	276	158
127	278	156
128	280	154
129	283	152
130	285	150
131	288	148
132	290	146
133	293	144
134	295	142
135	297	140
136	299	137
137	301	135
138	304	133
139	306	131
140	308	129
141	310	126
142	312	124
143	314	122
144	317	120
145	319	118
146	321	115
147	323	113
148	325	111
149	327	109
150	329	107
151	332	104
152	334	102
153	336	100
154	339	98
155	341	96
156	343	94
157	346	92
158	348	89
159	349	87
160	352	85
161	354	83
162	355	80
163	357	78
164	359	76
165	361	74
166	363	71
167	365	69
168	367	67
169	369	65
170	371	63
171	373	60
172	374	58
173	376	56
174	378	54
175	380	51
176	383	49
177	385	47
178	387	45
179	389	43
180	391	41
181	393	38
182	395	36
183	397	34
184	399	32
185	401	30
186	403	28
187	405	25
188	407	23
189	410	21
190	412	19
191	415	17
192	417	15
193	419	12
194	422	10
195	424	8
196	426	6
197	428	4
198	430	2
199	433	0
